time, act_r, act_thr, th_mo, th_bi
0.0517,0.3163,1.5667,0.680813,2.45259
0.0518,0.316252,1.56677,0.680755,2.45278
0.0519,0.316205,1.56683,0.680697,2.45297
0.052,0.316159,1.5669,0.68064,2.45315
0.0521,0.316113,1.56696,0.680584,2.45333
0.0522,0.316067,1.56702,0.680529,2.45351
0.0523,0.316021,1.56708,0.680475,2.45369
0.0524,0.315976,1.56715,0.680421,2.45387
0.0525,0.315932,1.56721,0.680368,2.45405
0.0526,0.315888,1.56727,0.680315,2.45423
0.0527,0.315844,1.56733,0.680263,2.4544
0.0528,0.3158,1.56739,0.680212,2.45457
0.0529,0.315757,1.56745,0.680162,2.45474
0.053,0.315715,1.56751,0.680112,2.45491
0.0531,0.315673,1.56757,0.680063,2.45508
0.0532,0.315631,1.56763,0.680014,2.45525
0.0533,0.31559,1.56769,0.679966,2.45541
0.0534,0.315549,1.56775,0.679919,2.45558
0.0535,0.315509,1.56781,0.679872,2.45574
0.0536,0.315469,1.56786,0.679826,2.4559
0.0537,0.315429,1.56792,0.67978,2.45606
0.0538,0.31539,1.56797,0.679735,2.45621
0.0539,0.315351,1.56803,0.679691,2.45637
0.054,0.315313,1.56808,0.679647,2.45652
0.0541,0.315275,1.56814,0.679603,2.45667
0.0542,0.315237,1.56819,0.67956,2.45682
0.0543,0.3152,1.56824,0.679518,2.45697
0.0544,0.315164,1.5683,0.679476,2.45712
0.0545,0.315128,1.56835,0.679434,2.45726
0.0546,0.315092,1.5684,0.679393,2.45741
0.0547,0.315057,1.56845,0.679352,2.45755
0.0548,0.315022,1.5685,0.679312,2.45769
0.0549,0.314987,1.56855,0.679273,2.45782
0.055,0.314953,1.5686,0.679233,2.45796
0.0551,0.31492,1.56864,0.679194,2.45809
0.0552,0.314887,1.56869,0.679156,2.45823
0.0553,0.314854,1.56874,0.679118,2.45836
0.0554,0.314822,1.56878,0.67908,2.45848
0.0555,0.31479,1.56883,0.679043,2.45861
0.0556,0.314759,1.56887,0.679006,2.45874
